SrcAddr,DstAddr,Sport,Dport,State,Dur,TotPkts,TotBytes,SrcBytes,DstBytes,SrcPkts,DstPkts,Rate,SrcRate,DstRate,Load,SrcLoad,DstLoad,sMeanPktSz,dMeanPktSz,attack_type,attack_category,has_SYN,has_RST,has_FIN,has_ACK,has_PSH,has_URG,has_ECE,has_CWR,ByteRatio,PktRatio,PktsPerSec,BytesPerSec,Proto_icmp,Proto_tcp,Proto_udp,State_OTH,State_REJ,State_RSTO,State_RSTR,State_RSTRH,State_S0,State_S1,State_S3,State_SF,State_SH,State_SHR
10.1.1.10,10.1.3.30,40709,254,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
67.61.65.166,10.1.3.30,60395,1213,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,48501,175,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
27.107.166.0,10.1.3.30,60395,32770,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,45525,211,RSTRH,0.001,2.0,80.0,40.0,40.0,1.0,1.0,80000.0,40000.0,40000.0,640000.0,40000000.0,320000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,2000.0,80000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,62577,246,RSTRH,0.001001,2.0,80.0,40.0,40.0,1.0,1.0,79920.07992007992,39960.03996003996,39960.03996003996,639360.6393606394,39920119.84019976,319680.3196803197,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,1998.0019980019981,79920.07992007992,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,62994,139,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.3.30,44374,585,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.1.1.10,10.1.4.40,59158,465,RSTRH,0.000498,2.0,80.0,40.0,40.0,1.0,1.0,160642.5702811245,80321.28514056225,80321.28514056225,1285140.562248996,161287721.16578767,642570.281124498,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4016.064257028113,160642.5702811245,False,True,False,False,False,False,False,True,False,False,False,False,False,False
137.107.164.37,10.1.4.40,34071,2381,RSTRH,0.0005,2.0,80.0,40.0,40.0,1.0,1.0,160000.0,80000.0,80000.0,1280000.0,160000000.0,640000.0,40.0,40.0,nmap_ack,scan,0,1,0,1,0,0,0,0,1.0,1.0,4000.0,160000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
